,wavelength,wg_width,wg_thickness,bend_curvature,mode_number,n_eff,loss,te_fraction,selfOverlapStrength,crossOverlapStrength
17,1.5,2.3,0.38,0.03888888888888889,2,1.639526199606234,4.632949556167969e-07,0.9976378223465632,-0.01307920827927296j,(8.638966447821002-0.0018673714772509031j)
18,1.5,2.3,0.38,0.044444444444444446,2,1.6395432975971491,1.3973842401306112e-06,0.997536134129231,-0.015760652593214478j,(7.970400971334223-0.0015537245118721294j)
19,1.5,2.3,0.38,0.05,2,1.6398006836224435,4.823991584942582e-06,0.9974057170736981,-0.02214805860784537j,(7.421876488489348+0.0003364288470419635j)
20,1.55,2.3,0.38,0.0,1,1.7050363036042226,6.680595567044971e-11,0.9995490701095654,-4.1068005144889025e-06j,(11.984866230373557-3.2748175715402575e-16j)
21,1.55,2.3,0.38,0.005555555555555556,1,1.7053877059257194,1.4285271594788795e-10,0.9995377431768069,2.4774252496551785e-06j,(11.871125842936982+0.054688211655000506j)
22,1.55,2.3,0.38,0.011111111111111112,1,1.7064313276221144,2.98045706924652e-10,0.9995046238950914,6.278615370110012e-06j,(11.557532550287997+0.0785678883190615j)
23,1.55,2.3,0.38,0.016666666666666666,1,1.708141768841899,6.072020370479664e-10,0.9994518972293951,8.209032978231047e-06j,(11.0865891936317+0.07866443627171059j)
24,1.55,2.3,0.38,0.022222222222222223,1,1.7104807404456022,1.210738116610872e-09,0.9993826708961736,9.180941205373737e-06j,(10.50079861417316+0.06200326179247449j)
25,1.55,2.3,0.38,0.02777777777777778,1,1.713401822442014,2.3711370320185547e-09,0.9993004086652997,1.0106603182893526e-05j,(9.842663653117471+0.035609771160881265j)
26,1.55,2.3,0.38,0.03333333333333333,1,1.7168551106478747,4.580481919472368e-09,0.9992084558044477,1.1898282042145871e-05j,(9.154687151669716+0.006509370656457716j)
27,1.55,2.3,0.38,0.03888888888888889,1,1.720790931136883,8.76933666738471e-09,0.999109745272786,1.546824091448623e-05j,(8.47937195103498-0.018272533441268207j)
28,1.55,2.3,0.38,0.044444444444444446,1,1.7251623359051482,1.672190042179461e-08,0.9990066794477974,2.172874293127003e-05j,(7.859220892418347-0.031710534852769014j)
29,1.55,2.3,0.38,0.05,1,1.7299264845889917,3.192367067266851e-08,0.9989011342650859,3.1592051223852734e-05j,(7.336736817024897-0.026779227298518105j)
30,1.55,2.3,0.38,0.0,2,1.6281163906307314,-0.0005454434093282343,0.9944191539491505,-0.009646183459978808j,(11.984866230377179+7.882946423989008e-16j)
31,1.55,2.3,0.38,0.005555555555555556,2,1.6261711262923866,8.719577100101287e-09,0.9975148944574399,0.16738211566575334j,(11.871125842938751-0.05468821165416304j)
32,1.55,2.3,0.38,0.011111111111111112,2,1.6260080953706246,1.7897575287526895e-08,0.9975107608539893,0.2605072138316318j,(11.557532550283826-0.07856788831630798j)
33,1.55,2.3,0.38,0.016666666666666666,2,1.6257619355470676,3.826791810313441e-08,0.997500582265717,0.29286611689292325j,(11.086589193617002-0.07866443626588629j)
34,1.55,2.3,0.38,0.022222222222222223,2,1.6254737839985336,8.590857134355635e-08,0.9974801030303033,0.2875958307048948j,(10.500798614142882-0.06200326178235086j)
35,1.55,2.3,0.38,0.02777777777777778,2,1.625194341579015,2.0444522515253512e-07,0.9974444652565074,0.2678333611228129j,(9.842663653066062-0.03560977114515404j)
36,1.55,2.3,0.38,0.03333333333333333,2,1.6249801442981577,5.223541559129435e-07,0.9973888462133945,0.2567157140019447j,(9.154687151591139-0.006509370633748173j)
37,1.55,2.3,0.38,0.03888888888888889,2,1.6248919471750434,1.45905146123502e-06,0.9973089717946938,0.277379895197557j,(8.479371950922717+0.018272533472413508j)
38,1.55,2.3,0.38,0.044444444444444446,2,1.6249974339579882,4.580128452881191e-06,0.9972022701933649,0.3529629105649168j,(7.859220892265391+0.03171053489387899j)
39,1.55,2.3,0.38,0.05,2,1.6253834831459064,1.685277823169564e-05,0.997070528387308,0.5066017659592896j,(7.336736816823756+0.026779227351195818j)
40,1.6,2.3,0.38,0.0,1,1.6946058347016892,1.6722688946221357e-10,0.9994960264314323,-9.839090652309537e-06j,(11.35220050707732+2.992100989821134e-16j)
41,1.6,2.3,0.38,0.005555555555555556,1,1.6949422008226505,3.5132962938413847e-10,0.999484665615861,5.865846069259999e-06j,(11.293660231258446-0.024092007495397066j)
42,1.6,2.3,0.38,0.011111111111111112,1,1.6959410330366307,7.228763724397018e-10,0.9994514327279226,1.4931893831019967e-05j,(11.048320494424921-0.03202052362056435j)
43,1.6,2.3,0.38,0.016666666666666666,1,1.697580533087292,1.457651297288305e-09,0.9993983233563947,1.9539122922996855e-05j,(10.653443472688574-0.02822789576677898j)
44,1.6,2.3,0.38,0.022222222222222223,1,1.699827490537133,2.886459513466025e-09,0.9993282222219418,2.186760363521717e-05j,(10.146291342161216-0.017156471325317748j)
45,1.6,2.3,0.38,0.02777777777777778,1,1.7026410976656992,5.63051016817679e-09,0.9992444150883465,2.4097406257707403e-05j,(9.564126278954676-0.0032485976874575407j)
46,1.6,2.3,0.38,0.03333333333333333,1,1.7059768079047184,1.086138038187875e-08,0.99915015778527,2.8408601080494002e-05j,(8.944210459180772+0.009053377755524271j)
47,1.6,2.3,0.38,0.03888888888888889,1,1.7097895697623382,2.0810878223780997e-08,0.9990483857319581,3.6981258393603555e-05j,(8.323806058951325+0.015307107612350622j)
48,1.6,2.3,0.38,0.044444444444444446,1,1.714036144551391,3.979610159822492e-08,0.9989415735648753,5.1995448487062476e-05j,(7.740175254378157+0.011070244491745297j)
49,1.6,2.3,0.38,0.05,1,1.7186765248735727,7.634121079525966e-08,0.9988317099030287,7.563124165089726e-05j,(7.230580221573084-0.008099558997569875j)
50,1.6,2.3,0.38,0.0,2,1.615563215583132,0.000766948014220021,0.9966027434800948,-0.010904451886522004j,(11.352200507076908-3.5394384243879473e-16j)
51,1.6,2.3,0.38,0.005555555555555556,2,1.6114720774055074,2.4585115483262662e-08,0.9971815773853999,-0.09307225019360926j,(11.29366023125809+0.024092007494544765j)
52,1.6,2.3,0.38,0.011111111111111112,2,1.6113436974356454,5.052361602217978e-08,0.9971758367024214,-0.1356385899154059j,(11.04832049442402+0.03202052361955673j)
53,1.6,2.3,0.38,0.016666666666666666,2,1.6111493570249804,1.08370702792728e-07,0.9971631341650631,-0.14883496418077244j,(10.653443472686071+0.028227895766049366j)
54,1.6,2.3,0.38,0.022222222222222223,2,1.610927519977492,2.447655638873693e-07,0.9971394214004954,-0.14289286611856955j,(10.146291342155603+0.017156471325034242j)
55,1.6,2.3,0.38,0.02777777777777778,2,1.6107272063650035,5.886832151531671e-07,0.9971000394155387,-0.12804378885765763j,(9.56412627894398+0.003248597687524066j)
56,1.6,2.3,0.38,0.03333333333333333,2,1.6106062933774838,1.530928149925089e-06,0.9970404635146655,-0.11451922552689714j,(8.944210459162571-0.009053377755469374j)
57,1.6,2.3,0.38,0.03888888888888889,2,1.6106333053819992,4.402155478147026e-06,0.9969573674226134,-0.1125506692551489j,(8.323806058922738-0.015307107612933362j)
58,1.6,2.3,0.38,0.044444444444444446,2,1.6108978031860803,1.4474915860105844e-05,0.9968516366741748,-0.13236961317127338j,(7.740175254335849-0.011070244493855365j)
59,1.6,2.3,0.38,0.05,2,1.6115388591777964,5.690437222175435e-05,0.9967403748254134,-0.18420755040413095j,(7.230580221513261+0.00809955899277569j)
60,1.5,2.4,0.38,0.0,1,1.7175400669324035,1.999214031603287e-11,0.9996445021400244,-1.5002470400448157e-06j,(14.224389117704572+1.802679504416248e-15j)
61,1.5,2.4,0.38,0.005555555555555556,1,1.7179666528572481,4.544083108457125e-11,0.9996318771500717,9.328724506346635e-07j,(13.93695937360057-0.0005802315332174171j)
62,1.5,2.4,0.38,0.011111111111111112,1,1.7192301590021917,9.933902798347404e-11,0.9995952709711708,2.3378508843843135e-06j,(13.387943118493615-0.0008312901078894583j)
63,1.5,2.4,0.38,0.016666666666666666,1,1.7212880244788398,2.0919469840811676e-10,0.9995379195732305,3.0503107704015056e-06j,(12.64170609062058-0.0008775170540834877j)
64,1.5,2.4,0.38,0.022222222222222223,1,1.724078497024305,4.2610414099013725e-10,0.9994641568911304,3.405874617883609e-06j,(11.762614028218353-0.0008432537018771468j)
65,1.5,2.4,0.38,0.02777777777777778,1,1.7275303547025063,8.442586626780213e-10,0.9993784386212349,3.7401649360279945e-06j,(10.815032669523815-0.0008528413813454125j)
66,1.5,2.4,0.38,0.03333333333333333,1,1.7315712029067283,1.6375128227859478e-09,0.999284683128509,4.388804234032032e-06j,(9.863327752773843-0.00103062142256415j)
67,1.5,2.4,0.38,0.03888888888888889,1,1.7361329768503613,3.1291755206626375e-09,0.9991860009015318,5.687415021093096e-06j,(8.971865016205324-0.0015009351556005094j)
68,1.5,2.4,0.38,0.044444444444444446,1,1.7411547363543003,5.927934149951156e-09,0.9990846990010483,7.971619806408551e-06j,(8.20501019805514-0.002388123910537942j)
69,1.5,2.4,0.38,0.05,1,1.7465835147011162,1.1199054775105057e-08,0.9989824153100686,1.1577041099175764e-05j,(7.627129036560163-0.003816529017444884j)
70,1.5,2.4,0.38,0.0,2,1.648455282023837,8.048081577333216e-06,0.9981178001232326,-0.0008118408797266885j,(14.22438911769945-3.7512058471028094e-16j)
71,1.5,2.4,0.38,0.005555555555555556,2,1.648352085865896,1.9222614181386696e-09,0.9981138199166474,0.0016027339196297502j,(13.936959373602877+0.0005802315314676806j)
72,1.5,2.4,0.38,0.011111111111111112,2,1.6481121548712268,3.998586227589827e-09,0.9981125709423859,0.002910948399272646j,(13.387943118499747+0.0008312901028962881j)
73,1.5,2.4,0.38,0.016666666666666666,2,1.6477579693977948,8.651630552233486e-09,0.9981059726232063,0.0034494124747678247j,(12.641706090627089+0.0008775170445487672j)
74,1.5,2.4,0.38,0.022222222222222223,2,1.6473514984436868,1.9611282993542797e-08,0.9980885365420962,0.003554736061681113j,(11.762614028221948+0.0008432536866928046j)
75,1.5,2.4,0.38,0.02777777777777778,2,1.64696408126429,4.694024097239324e-08,0.9980545064357182,0.0035635290755783346j,(10.815032669521361+0.0008528413595916462j)
76,1.5,2.4,0.38,0.03333333333333333,2,1.6466682522213894,1.1977851813519467e-07,0.997998659246716,0.0038124014320253165j,(9.863327752762366+0.001030621393514024j)
77,1.5,2.4,0.38,0.03888888888888889,2,1.6465327615253122,3.3016936746972395e-07,0.9979166790707713,0.004637963046587885j,(8.971865016181997+0.0015009351187251173j)
78,1.5,2.4,0.38,0.044444444444444446,2,1.6466213167872532,1.0030089416807637e-06,0.9978047348780871,0.0063768238348318705j,(8.205010198017291+0.00238812386549253j)
79,1.5,2.4,0.38,0.05,2,1.6469959705830566,3.467516232340821e-06,0.9976626641679891,0.009365593712323081j,(7.627129036505291+0.003816528964080839j)
80,1.55,2.4,0.38,0.0,1,1.706973503815317,5.3144035380760645e-11,0.9996003831234306,-3.8123630515248615e-06j,(13.430333735242794+1.5602123067244505e-15j)
81,1.55,2.4,0.38,0.005555555555555556,1,1.707379461626504,1.1824850173734762e-10,0.9995877394680472,2.3382322453937055e-06j,(13.219547104645859-0.00869231904132122j)
82,1.55,2.4,0.38,0.011111111111111112,1,1.708582812107379,2.5441972040410077e-10,0.9995509949317885,5.889683516717705e-06j,(12.765906527838426-0.011254060767564677j)
83,1.55,2.4,0.38,0.016666666666666666,1,1.7105472388341212,5.299671759649254e-10,0.9994930982481435,7.692155834697753e-06j,(12.126154523147811-0.009296165018047286j)
84,1.55,2.4,0.38,0.022222222222222223,1,1.7132192940033706,1.0724158057133233e-09,0.999418088130602,8.595814271584474e-06j,(11.357033608901322-0.004429571632076542j)
85,1.55,2.4,0.38,0.02777777777777778,1,1.716536197673365,2.1183589335607484e-09,0.999330242035909,9.45082389962848e-06j,(10.515286303426267+0.001734779551037199j)
86,1.55,2.4,0.38,0.03333333333333333,1,1.720432836508573,4.107660883311781e-09,0.9992334520057575,1.1107349791080385e-05j,(9.65765512504996+0.007585948691980994j)
87,1.55,2.4,0.38,0.03888888888888889,1,1.7248467467522592,7.8649837738061e-09,0.9991309199339985,1.4415557018190812e-05j,(8.840882592099707+0.011512995951444846j)
88,1.55,2.4,0.38,0.044444444444444446,1,1.7297209488035885,1.4957465732071725e-08,0.9990251058631241,2.0225610653210388e-05j,(8.121711222902821+0.01190498149011747j)
